jobId,cvMatchScore,title,companyName,experience,salary,location,tagsAndSkills,createdDate,jdURL,source,industry,jobType,employmentType,logoPath,logoPathV3,currency,footerPlaceholderLabel,footerPlaceholderColor,isSaved,companyId,ambitionBoxData,jobDescription,showMultipleApply,groupId,isTopGroup,mode,board,salaryDetail,experienceText,minimumExperience,maximumExperience,applyByTime,segmentedTemplateId,saved,companyJobsUrl
050326022078,,Business Analyst,Amantya Technologies,,Not disclosed,,"Healthcare Domain,HL7,Dicom,Confluence,Fhir,JIRA,Business analysis,DNS",1772710359448,/job-listings-business-analyst-amantya-technologies-bengaluru-5-to-9-years-050326022078,search,,,,https://img.naukimg.com/logo_images/groups/v1/4559328.gif,https://img.naukimg.com/logo_images/groups/v1/4559328.gif,INR,12 Days Ago,grey,False,5378906,"{""Url"": ""https://www.ambitionbox.com/reviews/amantya-technologies-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri"", ""ReviewsCount"": 243, ""AggregateRating"": ""4.0"", ""Title"": ""Amantya Technologies Reviews by Employees""}","Bachelors or Master s degree in Engineering,Healthcare IT,Biomedical Informatics,or related field<br><br>Coordinate and conduct requirement workshops,stakeholder interviews,and backlog grooming sessions<br><br>Work closely with UX / UI designers to validate user experience needs <br><br> Good to Have:  .",False,4559328,0,jp,1,"{""minimumSalary"": 0, ""maximumSalary"": 0, ""currency"": ""INR"", ""hideSalary"": true, ""variablePercentage"": 0.0}",5-9 Yrs,5,9,9:02 PM,Template1,False,
030326000075,,Business Analyst,Wipro,,Not disclosed,,"Life Insurance,Waterfall,MS Visio,Agile,Business Analysis,Power Bi,UK insurance,Insurance Domain",1772476975758,/job-listings-business-analyst-wipro-noida-gurugram-bengaluru-5-to-10-years-030326000075,search,,,,https://img.naukimg.com/logo_images/groups/v1/41608.gif,https://img.naukimg.com/logo_images/groups/v1/41608.gif,INR,15 Days Ago,grey,False,1384,"{""Url"": ""https://www.ambitionbox.com/reviews/wipro-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri"", ""ReviewsCount"": 64295, ""AggregateRating"": ""3.6"", ""Title"": ""Wipro Reviews by Employees""}","Scrum and Kanban,Jira and Confluence,concept of role of BA in an Agile project,ceremonies & responsibilities - Mandatory Experience of working on Waterfall projects Preferable Skilled in Microsoft Office Applications and at least one visual design application (Word,Excel,Powerpoint,Visio etc.)<br><br> Key Skills Required:  . <br><br>Experience in more than ONE area of insurance (e.g",False,41608,0,jp,1,"{""minimumSalary"": 1500000, ""maximumSalary"": 2250000, ""currency"": ""INR"", ""hideSalary"": false, ""variablePercentage"": 0.0}",5-10 Yrs,5,10,4:12 AM,Template1,False,
040326013381,,Business Analyst,CGI,,Not disclosed,,"HRM,ERP Functional,Business Analysis,Analysis,Functional,ERP",1772643413076,/job-listings-business-analyst-cgi-chennai-3-to-7-years-040326013381,search,,,,https://img.naukimg.com/logo_images/groups/v1/1402790.gif,https://img.naukimg.com/logo_images/groups/v1/1402790.gif,INR,13 Days Ago,grey,False,217,"{""Url"": ""https://www.ambitionbox.com/reviews/cgi-group-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri"", ""ReviewsCount"": 5337, ""AggregateRating"": ""4.0"", ""Title"": ""CGI Group Reviews by Employees""}","Ensure effective communication among team members and clients throughout the project lifecycle.  . Desired Candidate Profile . 3-7 years of experience in Business Analysis or related field (HRM domain preferred).  . Strong understanding of ERP Functional modules,particularly HRM systems.",False,1402790,0,jp,1,"{""minimumSalary"": 0, ""maximumSalary"": 0, ""currency"": ""INR"", ""hideSalary"": true, ""variablePercentage"": 0.0}",3-7 Yrs,3,7,2:26 AM,Template1,False,
110326015026,,Business Analyst - Airline Domain,Coforge,,Not disclosed,,"Ticket Booking,Airlines,Travel Process,Sabre,Airline Reservations,Aviation,Airline Process,Reservation",1773208265422,/job-listings-business-analyst-airline-domain-coforge-bengaluru-greater-noida-5-to-10-years-110326015026,search,,,,https://img.naukimg.com/logo_images/groups/v1/233334.gif,https://img.naukimg.com/logo_images/groups/v1/233334.gif,INR,6 Days Ago,grey,False,24468,"{""Url"": ""https://www.ambitionbox.com/reviews/coforge-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri"", ""ReviewsCount"": 6684, ""AggregateRating"": ""3.3"", ""Title"": ""Coforge Reviews by Employees""}","Creates Functional Requirements Document (FRD) as required . Verifies accuracy of release notes,SAN,User Guide as required in ship with Product Manager . .",False,233334,0,jp,1,"{""minimumSalary"": 0, ""maximumSalary"": 0, ""currency"": ""INR"", ""hideSalary"": true, ""variablePercentage"": 0.0}",5-10 Yrs,5,10,3:21 PM,Template1,False,
160326011769,,Business Analyst,Quinnox,,Not disclosed,,"Test Case Preparation,Planning And Analysis,Process Flow Diagram,Business Analysis,Business Analytics,Requirement Gathering,Agile,UAT",1773653485104,/job-listings-business-analyst-quinnox-bengaluru-6-to-10-years-160326011769,search,,,,https://img.naukimg.com/logo_images/groups/v1/481178.gif,https://img.naukimg.com/logo_images/groups/v1/481178.gif,INR,1 Day Ago,green,False,16545,"{""Url"": ""https://www.ambitionbox.com/reviews/quinnox-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri"", ""ReviewsCount"": 481, ""AggregateRating"": ""3.9"", ""Title"": ""Quinnox Reviews by Employees""}","Required Skills & Qualifications:  . Bachelors degree in Business Administration,Information Systems,Computer Science,or related field<br><br>10 years of experience as a Business Analyst or similar role<br><br>Experience in documentation tools,process flow diagrams,and functional specifications",False,481178,0,jp,1,"{""minimumSalary"": 0, ""maximumSalary"": 0, ""currency"": ""INR"", ""hideSalary"": true, ""variablePercentage"": 0.0}",6-10 Yrs,6,10,7:01 PM,Template1,False,
130326006834,,Business Analyst,Omnicom Global Solutions,,Not disclosed,,"Jira,User Acceptance Testing,Confluence,Agile,Scrum,Gap Analysis,Requirement Gathering,User Stories",1773372904565,/job-listings-business-analyst-omnicom-global-solutions-bengaluru-5-to-9-years-130326006834,search,,,,https://img.naukimg.com/logo_images/groups/v1/3113322.gif,https://img.naukimg.com/logo_images/groups/v1/3113322.gif,INR,4 Days Ago,grey,False,1231336,"{""Url"": ""https://www.ambitionbox.com/reviews/omnicom-global-solutions-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri"", ""ReviewsCount"": 339, ""AggregateRating"": ""3.2"", ""Title"": ""Omnicom Global Solutions Reviews by Employees""}",3+ years of experience as a Business Analyst in Agile / Scrum environments . Strong experience writing User Stories and Acceptance Criteria . Good understanding of Agile methodologies and Scrum ceremonies . <br><br>Assist with UAT preparation and validation when required.  <br><br>Required Skills,False,3113322,0,jp,1,"{""minimumSalary"": 1200000, ""maximumSalary"": 1800000, ""currency"": ""INR"", ""hideSalary"": false, ""variablePercentage"": 0.0}",5-9 Yrs,5,9,1:05 PM,Template1,False,
270126003918,,Business Analyst,Qentelli,,Not disclosed,,"QA Testing,Scrum,Azure Devops,Business Analysis,Agile,SDLC,SQL,Software testing",1773428408412,/job-listings-business-analyst-qentelli-hyderabad-4-to-8-years-270126003918,search,,,,https://img.naukimg.com/logo_images/groups/v1/4620853.gif,https://img.naukimg.com/logo_images/groups/v1/4620853.gif,INR,4 Days Ago,grey,False,3171770,"{""Url"": ""https://www.ambitionbox.com/reviews/qentelli-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri"", ""ReviewsCount"": 354, ""AggregateRating"": ""3.7"", ""Title"": ""Qentelli Reviews by Employees""}","<p><strong>Job Summary</strong></p><p>We are looking for a Business Analyst with 4-6 years of experience in business systems analysis and quality assurance. The role involves gathering, analyzing, and managing business requirements for Global Technology services. The Business Analyst will work closely with business stakeholders and development teams throughout the software development lifecycle to ensure successful delivery of solutions.</p><br /><p><strong>Roles and Responsibilities</strong></p><ul><li>Gather, analyze, document, and validate business and functional requirements.</li><li>Write clear and detailed features and user stories.</li><li>Act as a liaison between business stakeholders and development teams. </li><li>Assess business needs and recommend solutions, priorities, and trade-offs.</li><li>Support solution design and participate in design reviews.</li><li>Ensure solutions meet business and functional requirements.</li><li>Analyze the impact of changes on existing systems.</li><li>Perform manual testing, including script-based and exploratory testing.</li><li>Conduct platform compatibility testing, including Microsoft platform upgrades.</li><li>Document, track, and close defects.</li><li>Support deployment activities and assist end users with advanced issues. </li><li>Create training materials and conduct knowledge-sharing sessions.</li><li>Work effectively in a fast-paced, high-demand environment.<br /> </li></ul><p><strong>Required Skills</strong></p><ul><li>4-6 years of experience as a Business Analyst or Business Systems Analyst.</li><li>Experience in requirements analysis and documentation.</li><li>Strong ability to write features and user stories.</li><li>Hands-on experience in manual testing.</li><li>Good understanding of SDLC and Agile methodologies.</li><li>Working knowledge of Azure DevOps (ADO).</li><li>Strong analytical and problem-solving skills.</li><li>Clear verbal and written communication skills.</li><li>Self-motivated with a strong sense of ownership.<br /> </li></ul><p><strong>Preferred Skills</strong></p><ul><li>Experience with SQL and relational databases. </li><li>Exposure to test automation frameworks. </li><li>Experience supporting production systems and end users.</li><li>Experience working in global or enterprise environments.</li></ul>",False,4620853,0,jp,1,"{""minimumSalary"": 0, ""maximumSalary"": 0, ""currency"": ""INR"", ""hideSalary"": true, ""variablePercentage"": 0.0}",4-8 Yrs,4,8,4:30 AM,Template1,False,
180226020663,,Business Analyst Payment Domain,Alois Solutions,,Not disclosed,,"Payment Domain,Business analyst,Business Analysis,DNS,Payments,Analysis",1773403664773,/job-listings-business-analyst-domain-alois-solutions-chennai-bengaluru-6-to-10-years-180226020663,search,,,,https://img.naukimg.com/logo_images/groups/v1/10882516.gif,https://img.naukimg.com/logo_images/groups/v1/10882516.gif,INR,4 Days Ago,grey,False,3050228,{},"Certified Business Analyst (appropriate certification required)<br><br>BA with understanding of payments domain is a must<br><br>Proficient in business analysis tools and techniques<br><br>Good to have Icon Payments framework knowledge<br><br>Experience with digital platforms,mobile applications,and large-scale transformation programmes",False,10882516,0,jp,1,"{""minimumSalary"": 1200000, ""maximumSalary"": 1600000, ""currency"": ""INR"", ""hideSalary"": false, ""variablePercentage"": 0.0}",6-10 Yrs,6,10,9:37 PM,Template1,False,
160326012463,,Business Analyst,CGI,,Not disclosed,,"claim center,Insurance Domain,Business Analysis,Guidewire,Analysis,DNS,Claims,Claims processing",1773654679456,/job-listings-business-analyst-cgi-hyderabad-chennai-bengaluru-4-to-8-years-160326012463,search,,,,https://img.naukimg.com/logo_images/groups/v1/1402790.gif,https://img.naukimg.com/logo_images/groups/v1/1402790.gif,INR,1 Day Ago,green,False,217,"{""Url"": ""https://www.ambitionbox.com/reviews/cgi-group-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri"", ""ReviewsCount"": 5337, ""AggregateRating"": ""4.0"", ""Title"": ""CGI Group Reviews by Employees""}",Provide guidance on system configuration and testing for optimal performance.  . Desired Candidate Profile . 4-8 years of experience in Business Analysis with expertise in Insurance Domain (Claim Center).  . Strong understanding of Guidewire platform and its applications in insurance industry.,False,1402790,0,jp,1,"{""minimumSalary"": 0, ""maximumSalary"": 0, ""currency"": ""INR"", ""hideSalary"": true, ""variablePercentage"": 0.0}",4-8 Yrs,4,8,7:21 PM,Template1,False,
170326045855,,Business Analyst,Genpact,,Not disclosed,,"HL7,Business Analyst,Healthcare Domain,Brd,Requirement Gathering,UAT,US Healthcare,Healthcare",1773768841719,/job-listings-business-analyst-genpact-noida-hyderabad-bengaluru-5-to-7-years-170326045855,search,,,,https://img.naukimg.com/logo_images/groups/v1/42932.gif,https://img.naukimg.com/logo_images/groups/v1/42932.gif,INR,Just Now,green,False,30975,"{""Url"": ""https://www.ambitionbox.com/reviews/genpact-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri"", ""ReviewsCount"": 41450, ""AggregateRating"": ""3.6"", ""Title"": ""Genpact Reviews by Employees""}","BE / B Tech / MCA or equivalent degree<br><br>Certification: ECBA,CCBA,or Agile BA<br><br>Own and drive end-to-end requirement lifecycle: vision BRD / FRD user stories UAT post go live validation<br><br>Minimum Qualifications / Skills <br><br>Preferred Qualifications/ Skills <br><br>This role is ideal for a hands-on BA with solid domain experience and strong collaboration skills. .",False,42932,0,jp,1,"{""minimumSalary"": 0, ""maximumSalary"": 0, ""currency"": ""INR"", ""hideSalary"": true, ""variablePercentage"": 0.0}",5-7 Yrs,5,7,3:04 AM,Template1,False,
